property_id,property_type,neighborhood,city,sqft,sale_price,price_per_sqft,sale_date,status
P0235,Multi-Family,East Park,San Diego,2936,1194452.88,406.83,2023-12-25,Sold
P0236,Single Family,North Hills,San Diego,958,632040.5,659.75,2025-07-26,Sold
P0237,Townhouse,North Hills,Fresno,3940,1235741.6,313.64,2023-03-27,Closed
P0238,Single Family,Westside,San Jose,4039,2196529.37,543.83,2024-06-02,Sold
P0239,Townhouse,Downtown,San Jose,4231,2975069.96,703.16,2024-11-10,Closed
P0240,Multi-Family,North Hills,San Diego,4343,1945707.43,448.01,2025-06-19,Closed
P0241,Townhouse,Downtown,Sacramento,3534,1814143.56,513.34,2025-11-29,Sold
P0242,Townhouse,North Hills,Los Angeles,2463,1437505.32,583.64,2024-01-05,Sold
P0243,Multi-Family,South Bay,Sacramento,2043,1272421.26,622.82,2024-09-19,Sold
P0244,Single Family,North Hills,Fresno,3525,1682905.5,477.42,2025-07-04,Closed
P0245,Single Family,East Park,San Jose,1824,1109794.56,608.44,2023-04-28,Sold
P0246,Single Family,Westside,Los Angeles,827,227970.82,275.66,2025-06-16,Sold
P0247,Multi-Family,South Bay,Los Angeles,3888,2380466.88,612.26,2025-01-11,Sold
P0248,Townhouse,East Park,Los Angeles,3481,1675927.45,481.45,2025-01-29,Sold
P0249,Townhouse,Westside,Los Angeles,2868,1221366.48,425.86,2024-10-05,Sold
P0250,Multi-Family,South Bay,Los Angeles,3713,1131165.45,304.65,2025-11-26,Sold
P0251,Condo,South Bay,San Jose,3874,1372906.86,354.39,2025-07-02,Closed
P0252,Multi-Family,Westside,Sacramento,1519,398236.23,262.17,2023-06-01,Sold
P0253,Townhouse,Downtown,Fresno,4019,2559660.91,636.89,2024-10-16,Sold
P0254,Condo,North Hills,Fresno,4350,1657219.5,380.97,2023-11-19,Sold
P0255,Condo,East Park,Los Angeles,1197,1005527.88,840.04,2023-10-12,Sold
P0256,Condo,South Bay,Los Angeles,2969,1672823.67,563.43,2025-08-15,Sold
P0257,Multi-Family,East Park,Fresno,1966,878349.82,446.77,2025-09-07,Sold
P0258,Multi-Family,East Park,Fresno,1213,1008597.37,831.49,2023-06-01,Sold
P0259,Condo,East Park,Fresno,1225,941081.75,768.23,2024-01-08,Sold
P0260,Townhouse,Westside,San Diego,4105,1080394.95,263.19,2023-11-10,Sold
P0261,Townhouse,Downtown,San Jose,3605,1193507.35,331.07,2025-11-28,Sold
P0262,Condo,North Hills,Fresno,3301,2709328.76,820.76,2024-07-16,Sold
P0263,Condo,South Bay,Fresno,2758,1680890.68,609.46,2023-11-12,Sold
P0264,Single Family,Downtown,Los Angeles,4151,3316773.53,799.03,2023-03-26,Sold
P0265,Single Family,East Park,Fresno,3367,1081615.08,321.24,2025-05-03,Sold
P0266,Condo,East Park,San Jose,3329,2732975.84,820.96,2025-09-16,Closed
P0267,Multi-Family,East Park,Sacramento,998,640087.26,641.37,2023-11-20,Closed
P0268,Townhouse,North Hills,San Jose,1535,626172.55,407.93,2023-10-22,Closed
P0269,Single Family,North Hills,San Diego,1235,851717.75,689.65,2025-11-20,Closed
P0270,Condo,Downtown,Los Angeles,1201,431411.21,359.21,2024-05-22,Sold
P0271,Condo,Westside,San Jose,2273,1725184.27,758.99,2025-05-06,Sold
P0272,Multi-Family,East Park,San Jose,1477,1021035.33,691.29,2025-10-17,Closed
P0273,Multi-Family,Westside,San Diego,794,190822.02,240.33,2025-03-16,Sold
P0274,Multi-Family,North Hills,Fresno,899,192260.14,213.86,2025-10-10,Sold
P0275,Townhouse,North Hills,Sacramento,4170,1050923.4,252.02,2023-10-02,Sold
P0276,Townhouse,South Bay,San Jose,885,396825.15,448.39,2024-02-03,Sold
P0277,Single Family,Westside,Los Angeles,2282,1181733.7,517.85,2024-07-26,Closed
P0278,Townhouse,Westside,San Diego,2228,1587628.24,712.58,2024-11-25,Closed
P0279,Condo,North Hills,Sacramento,2748,568753.56,206.97,2023-03-21,Closed
P0280,Condo,North Hills,Fresno,1310,767908.9,586.19,2025-11-21,Sold
P0281,Townhouse,South Bay,Fresno,1365,605077.2,443.28,2024-09-04,Closed
P0282,Single Family,North Hills,San Jose,3602,2006890.32,557.16,2025-08-30,Sold
P0283,Multi-Family,North Hills,Fresno,2406,1374018.48,571.08,2023-02-24,Sold
P0284,Condo,South Bay,Fresno,3654,783454.14,214.41,2025-09-10,Closed
P0285,Single Family,South Bay,Los Angeles,1305,953315.55,730.51,2024-05-11,Sold
P0286,Condo,East Park,San Diego,777,369463.5,475.5,2025-05-07,Closed
P0287,Single Family,Westside,Fresno,2755,1926378.65,699.23,2025-08-23,Sold
P0288,Multi-Family,North Hills,San Diego,2997,1192146.66,397.78,2025-09-06,Closed
P0289,Townhouse,South Bay,Sacramento,4436,2383019.2,537.2,2024-12-26,Sold
P0290,Condo,North Hills,San Jose,1709,627083.37,366.93,2024-09-03,Sold
P0291,Multi-Family,North Hills,Fresno,3527,2300803.18,652.34,2024-10-11,Sold
P0292,Multi-Family,North Hills,San Diego,1878,491397.48,261.66,2025-02-16,Sold
P0293,Townhouse,East Park,San Jose,872,325003.12,372.71,2023-06-11,Closed
P0294,Townhouse,Westside,Los Angeles,1576,497054.64,315.39,2024-07-09,Sold
P0295,Condo,Westside,Los Angeles,1693,362318.93,214.01,2025-12-23,Sold
P0296,Single Family,Westside,Los Angeles,2392,959909.6,401.3,2025-08-25,Sold
P0297,Multi-Family,Westside,San Jose,2366,1460863.04,617.44,2025-09-01,Sold
P0298,Condo,South Bay,Los Angeles,1869,1145229.75,612.75,2023-07-03,Sold
P0299,Single Family,East Park,Sacramento,2411,1859122.1,771.1,2023-12-27,Sold
P0300,Single Family,Downtown,San Jose,3767,3106381.21,824.63,2024-08-15,Sold
P0301,Multi-Family,Westside,Fresno,2072,768007.52,370.66,2025-12-09,Closed
P0302,Townhouse,Westside,Sacramento,1817,561780.06,309.18,2023-08-19,Sold
P0303,Townhouse,South Bay,San Diego,3643,1110204.25,304.75,2024-11-21,Sold
P0304,Multi-Family,South Bay,San Jose,3202,2413091.24,753.62,2025-04-10,Sold
P0305,Condo,East Park,San Jose,2341,1471084.4,628.4,2024-01-14,Sold
P0306,Multi-Family,North Hills,San Jose,727,257888.71,354.73,2024-04-27,Sold
P0307,Townhouse,North Hills,San Diego,3085,2049458.05,664.33,2023-01-24,Sold
P0308,Condo,East Park,Fresno,3435,890386.35,259.21,2024-09-20,Sold
P0309,Townhouse,South Bay,San Diego,3527,912329.09,258.67,2024-08-27,Sold
P0310,Townhouse,East Park,Fresno,1247,623973.86,500.38,2025-07-20,Closed
P0311,Condo,South Bay,Los Angeles,3802,2053612.28,540.14,2024-03-23,Closed
P0312,Single Family,Downtown,Fresno,2863,1865301.76,651.52,2023-06-09,Sold
P0313,Townhouse,South Bay,Sacramento,3045,1642960.2,539.56,2023-12-03,Sold
P0314,Single Family,South Bay,Sacramento,3486,1107223.32,317.62,2025-09-28,Sold
P0315,Multi-Family,South Bay,Los Angeles,2557,686298.8,268.4,2025-04-30,Closed
P0316,Multi-Family,North Hills,Los Angeles,3455,2489776.65,720.63,2023-02-14,Sold
P0317,Townhouse,Downtown,Fresno,3068,702357.24,228.93,2025-05-17,Sold
P0318,Single Family,North Hills,Sacramento,4362,986858.88,226.24,2025-08-24,Sold
P0319,Townhouse,East Park,Sacramento,3849,1042078.26,270.74,2025-05-10,Closed
P0320,Townhouse,Downtown,San Diego,2238,523177.26,233.77,2023-09-30,Closed
P0321,Single Family,Downtown,San Jose,2866,760407.12,265.32,2024-04-01,Closed
P0322,Multi-Family,Westside,San Diego,3458,2288469.82,661.79,2025-05-18,Closed
